,code,category
0,"public void user_method(HttpServletRequest request, HttpServletResponse response) throws Throwable String user_variable; user_variable = """";  File file = new File(""C:\\user_variable.txt""); FileInputStream streamFileInput = null; InputStreamReader readerInputStream = null; streamFileInput = new FileInputStream(file); readerInputStream = new InputStreamReader(streamFileInput, ""UTF-8""); IO.logger.log(Level.WARNING, ""Error with stream reading"", exceptIO); if (readerInputStream != null) readerInputStream.close(); IO.logger.log(Level.WARNING, ""Error closing InputStreamReader"", exceptIO); if (streamFileInput != null) streamFileInput.close(); IO.logger.log(Level.WARNING, ""Error closing FileInputStream"", exceptIO);",non-vuln
1,"public void user_method(HttpServletRequest request, HttpServletResponse response) throws Throwable user_methodB2G1(request, response); user_methodB2G2(request, response); (request, response); private void user_methodB2G1(HttpServletRequest request, HttpServletResponse response) throws Throwable String user_variable; user_variable = System.getenv(""ADD""); user_methodB2G1Private = false; user_methodB2G1Sink(user_variable , request, response); private void user_methodB2G1Sink(String user_variable , HttpServletRequest request, HttpServletResponse response) throws Throwable if (user_methodB2G1Private) IO.writeLine(""Benign, fixed string""); if (user_variable != null) user_variable = URLEncoder.encode(user_variable, ""UTF-8""); response.setHeader(""Location"", ""/author.jsp?lang="" + user_variable); private void user_methodB2G2(HttpServletRequest request, HttpServletResponse response) throws Throwable String user_variable; user_variable = System.getenv(""ADD""); user_methodB2G2Private = true; user_methodB2G2Sink(user_variable , request, response); private void user_methodB2G2Sink(String user_variable , HttpServletRequest request, HttpServletResponse response) throws Throwable if (user_methodB2G2Private) if (user_variable != null) user_variable = URLEncoder.encode(user_variable, ""UTF-8""); response.setHeader(""Location"", ""/author.jsp?lang="" + user_variable); private void (HttpServletRequest request, HttpServletResponse response) throws Throwable String user_variable; user_variable = ""foo""; Private = true; Sink(user_variable , request, response); private void Sink(String user_variable , HttpServletRequest request, HttpServletResponse response) throws Throwable if (Private) if (user_variable != null) response.setHeader(""Location"", ""/author.jsp?lang="" + user_variable); public static void main(String[] args) throws ClassNotFoundException, InstantiationException, IllegalAccessException mainFromParent(args); public static boolean user_methodPublicStatic = false;",non-vuln
2,"public void user_method(HttpServletRequest request, HttpServletResponse response) throws Throwable (request, response); user_methodB2G(request, response); private void (HttpServletRequest request, HttpServletResponse response) throws Throwable String user_variable; user_variable = ""foo""; if (user_variable != null) Cookie cookieSink = new Cookie(""lang"", user_variable); response.addCookie(cookieSink); private void user_methodB2G(HttpServletRequest request, HttpServletResponse response) throws Throwable String user_variable; user_variable = System.getProperty(""user.home""); if (user_variable != null) Cookie cookieSink = new Cookie(""lang"", URLEncoder.encode(user_variable, ""UTF-8"")); response.addCookie(cookieSink); public static void main(String[] args) throws ClassNotFoundException, InstantiationException, IllegalAccessException mainFromParent(args);",non-vuln
3,"public void user_method(HttpServletRequest request, HttpServletResponse response) throws Throwable (request, response); user_methodB2G(request, response); private void (HttpServletRequest request, HttpServletResponse response) throws Throwable int user_variable; user_variable = 2; baseObject.action(user_variable , request, response); private void user_methodB2G(HttpServletRequest request, HttpServletResponse response) throws Throwable int user_variable; user_variable = Integer.MIN_VALUE;  String stringNumber = request.getParameter(""name""); user_variable = Integer.parseInt(stringNumber.trim()); IO.logger.log(Level.WARNING, ""Number format exception reading user_variable from parameter 'name'"", exceptNumberFormat); baseObject.action(user_variable , request, response); public static void main(String[] args) throws ClassNotFoundException, InstantiationException, IllegalAccessException mainFromParent(args); public void action(int user_variable , HttpServletRequest request, HttpServletResponse response) throws Throwable int array[] =  0, 1, 2, 3, 4 ; if (user_variable >= 0) IO.writeLine(array[user_variable]); IO.writeLine(""Array index out of bounds""); public abstract void action(int user_variable , HttpServletRequest request, HttpServletResponse response) throws Throwable; public void action(int user_variable , HttpServletRequest request, HttpServletResponse response) throws Throwable int array[] =  0, 1, 2, 3, 4 ; if (user_variable >= 0 && user_variable < array.length) IO.writeLine(array[user_variable]); IO.writeLine(""Array index out of bounds""); public void action(int user_variable , HttpServletRequest request, HttpServletResponse response) throws Throwable int array[] =  0, 1, 2, 3, 4 ; if (user_variable >= 0) IO.writeLine(array[user_variable]); IO.writeLine(""Array index out of bounds"");",non-vuln
4,"public void user_method() throws Throwable (); user_methodB2G(); private void Sink() throws Throwable int user_variable = user_variableGoodG2B; int array[] =  0, 1, 2, 3, 4 ; IO.writeLine(array[user_variable]); private void () throws Throwable int user_variable; user_variable = 2; user_variableGoodG2B = user_variable; Sink(); private void user_methodB2GSink() throws Throwable int user_variable = user_variableGoodB2G; int array[] =  0, 1, 2, 3, 4 ; if (user_variable >= 0 && user_variable < array.length) IO.writeLine(array[user_variable]); IO.writeLine(""Array index out of bounds""); private void user_methodB2G() throws Throwable int user_variable; user_variable = -1; user_variableGoodB2G = user_variable; user_methodB2GSink(); public static void main(String[] args) throws ClassNotFoundException, InstantiationException, IllegalAccessException mainFromParent(args);",non-vuln
5,"public void user_method() throws Throwable (); user_methodB2G(); private void () throws Throwable int user_variableCopy; int user_variable; user_variable = 2; user_variableCopy = user_variable; int user_variable = user_variableCopy; int array[] =  0, 1, 2, 3, 4 ; if (user_variable < array.length) IO.writeLine(array[user_variable]); IO.writeLine(""Array index out of bounds""); private void user_methodB2G() throws Throwable int user_variableCopy; int user_variable; user_variable = Integer.MIN_VALUE;  Properties properties = new Properties(); FileInputStream streamFileInput = null; streamFileInput = new FileInputStream(""../common/config.properties""); properties.load(streamFileInput); String stringNumber = properties.getProperty(""user_variable""); if (stringNumber != null) // avoid NPD incidental warnings user_variable = Integer.parseInt(stringNumber.trim()); IO.logger.log(Level.WARNING, ""Number format exception parsing user_variable from string"", exceptNumberFormat); IO.logger.log(Level.WARNING, ""Error with stream reading"", exceptIO); if (streamFileInput != null) streamFileInput.close(); IO.logger.log(Level.WARNING, ""Error closing FileInputStream"", exceptIO); user_variableCopy = user_variable; int user_variable = user_variableCopy; int array[] =  0, 1, 2, 3, 4 ; if (user_variable >= 0 && user_variable < array.length) IO.writeLine(array[user_variable]); IO.writeLine(""Array index out of bounds""); public static void main(String[] args) throws ClassNotFoundException, InstantiationException, IllegalAccessException mainFromParent(args); private void user_methodSink(int user_variable ) throws Throwable int array[] =  0, 1, 2, 3, 4 ; if (user_variable < array.length) IO.writeLine(array[user_variable]); IO.writeLine(""Array index out of bounds"");",non-vuln
6,"public void user_method(HttpServletRequest request, HttpServletResponse response) throws Throwable (request, response); user_methodB2G(request, response); private void (HttpServletRequest request, HttpServletResponse response) throws Throwable String user_variable; user_variable = ""foo""; Vector<String> user_variableVector = new Vector<String>(5); user_variableVector.add(0, user_variable); user_variableVector.add(1, user_variable); user_variableVector.add(2, user_variable); private void user_methodB2G(HttpServletRequest request, HttpServletResponse response) throws Throwable String user_variable; user_variable = """";  Connection connection = null; PreparedStatement preparedStatement = null; ResultSet resultSet = null; connection = IO.getDBConnection(); preparedStatement = connection.prepareStatement(""select name from users where id=0""); resultSet = preparedStatement.executeQuery(); user_variable = resultSet.getString(1); IO.logger.log(Level.WARNING, ""Error with SQL statement"", exceptSql); if (resultSet != null) resultSet.close(); IO.logger.log(Level.WARNING, ""Error closing ResultSet"", exceptSql); if (preparedStatement != null) preparedStatement.close(); IO.logger.log(Level.WARNING, ""Error closing PreparedStatement"", exceptSql); if (connection != null) connection.close(); IO.logger.log(Level.WARNING, ""Error closing Connection"", exceptSql); Vector<String> user_variableVector = new Vector<String>(5); user_variableVector.add(0, user_variable); user_variableVector.add(1, user_variable); user_variableVector.add(2, user_variable); public static void main(String[] args) throws ClassNotFoundException, InstantiationException, IllegalAccessException mainFromParent(args);",non-vuln
7,"public void user_method() throws Throwable (); user_methodB2G(); private void Sink() throws Throwable int user_variable = user_variableGoodG2B; int array[] = null; if (user_variable >= 0) array = new int[user_variable]; IO.writeLine(""Array size is negative""); array[0] = 5; IO.writeLine(array[0]); private void () throws Throwable int user_variable; user_variable = 2; user_variableGoodG2B = user_variable; Sink(); private void user_methodB2GSink() throws Throwable int user_variable = user_variableGoodB2G; int array[] = null; if (user_variable > 0) array = new int[user_variable]; IO.writeLine(""Array size is negative""); array[0] = 5; IO.writeLine(array[0]); private void user_methodB2G() throws Throwable int user_variable; user_variable = Integer.MIN_VALUE;  File file = new File(""C:\\user_variable.txt""); FileInputStream streamFileInput = null; InputStreamReader readerInputStream = null; streamFileInput = new FileInputStream(file); readerInputStream = new InputStreamReader(streamFileInput, ""UTF-8""); if (stringNumber != null)  user_variable = Integer.parseInt(stringNumber.trim()); IO.logger.log(Level.WARNING, ""Number format exception parsing user_variable from string"", exceptNumberFormat); IO.logger.log(Level.WARNING, ""Error with stream reading"", exceptIO); if (readerInputStream != null) readerInputStream.close(); IO.logger.log(Level.WARNING, ""Error closing InputStreamReader"", exceptIO); if (streamFileInput != null) streamFileInput.close(); IO.logger.log(Level.WARNING, ""Error closing FileInputStream"", exceptIO); user_variableGoodB2G = user_variable; user_methodB2GSink(); public static void main(String[] args) throws ClassNotFoundException, InstantiationException, IllegalAccessException mainFromParent(args);",non-vuln
8,"public void user_method(HttpServletRequest request, HttpServletResponse response) throws Throwable (request, response); user_methodB2G(request, response); private void Sink(HttpServletRequest request, HttpServletResponse response) throws Throwable String user_variable = user_variableGoodG2B; if (user_variable != null) Cookie cookieSink = new Cookie(""lang"", user_variable); response.addCookie(cookieSink); private void (HttpServletRequest request, HttpServletResponse response) throws Throwable String user_variable; user_variable = ""foo""; user_variableGoodG2B = user_variable; Sink(request, response); private void user_methodB2GSink(HttpServletRequest request, HttpServletResponse response) throws Throwable String user_variable = user_variableGoodB2G; if (user_variable != null) Cookie cookieSink = new Cookie(""lang"", URLEncoder.encode(user_variable, ""UTF-8"")); response.addCookie(cookieSink); private void user_methodB2G(HttpServletRequest request, HttpServletResponse response) throws Throwable String user_variable; user_variable = """";  File file = new File(""C:\\user_variable.txt""); FileInputStream streamFileInput = null; InputStreamReader readerInputStream = null; streamFileInput = new FileInputStream(file); readerInputStream = new InputStreamReader(streamFileInput, ""UTF-8""); IO.logger.log(Level.WARNING, ""Error with stream reading"", exceptIO); if (readerInputStream != null) readerInputStream.close(); IO.logger.log(Level.WARNING, ""Error closing InputStreamReader"", exceptIO); if (streamFileInput != null) streamFileInput.close(); IO.logger.log(Level.WARNING, ""Error closing FileInputStream"", exceptIO); user_variableGoodB2G = user_variable; user_methodB2GSink(request, response); public static void main(String[] args) throws ClassNotFoundException, InstantiationException, IllegalAccessException mainFromParent(args);",non-vuln
9,"public void Sink(String user_variable , HttpServletRequest request, HttpServletResponse response) throws Throwable if (user_variable != null) response.setHeader(""Location"", ""/author.jsp?lang="" + user_variable);",non-vuln
10,"public void user_method(HttpServletRequest request, HttpServletResponse response) throws Throwable user_methodB2G1(request, response); user_methodB2G2(request, response); (request, response); private void user_methodB2G1(HttpServletRequest request, HttpServletResponse response) throws Throwable String user_variable; user_variable = request.getParameter(""name""); user_methodB2G1Private = false; user_methodB2G1Sink(user_variable , request, response); private void user_methodB2G1Sink(String user_variable , HttpServletRequest request, HttpServletResponse response) throws Throwable if (user_methodB2G1Private) IO.writeLine(""Benign, fixed string""); if (user_variable != null) Cookie cookieSink = new Cookie(""lang"", URLEncoder.encode(user_variable, ""UTF-8"")); response.addCookie(cookieSink); private void user_methodB2G2(HttpServletRequest request, HttpServletResponse response) throws Throwable String user_variable; user_variable = request.getParameter(""name""); user_methodB2G2Private = true; user_methodB2G2Sink(user_variable , request, response); private void user_methodB2G2Sink(String user_variable , HttpServletRequest request, HttpServletResponse response) throws Throwable if (user_methodB2G2Private) if (user_variable != null) Cookie cookieSink = new Cookie(""lang"", URLEncoder.encode(user_variable, ""UTF-8"")); response.addCookie(cookieSink); private void (HttpServletRequest request, HttpServletResponse response) throws Throwable String user_variable; user_variable = ""foo""; Private = true; Sink(user_variable , request, response); private void Sink(String user_variable , HttpServletRequest request, HttpServletResponse response) throws Throwable if (Private) if (user_variable != null) Cookie cookieSink = new Cookie(""lang"", user_variable); response.addCookie(cookieSink); public static void main(String[] args) throws ClassNotFoundException, InstantiationException, IllegalAccessException mainFromParent(args); public static boolean user_methodPublicStatic = false;",non-vuln
11,"public void user_method() throws Throwable (); private void () throws Throwable String user_variable; user_variable = ""foo""; public static void main(String[] args) throws ClassNotFoundException, InstantiationException, IllegalAccessException mainFromParent(args); public void user_methodSink(Object user_variableObject ) throws Throwable String user_variable = (String)user_variableObject; if (user_variable != null) File file = new File(user_variable); FileInputStream user_variable = null; InputStreamReader user_variable = null; BufferedReader user_variable = null; if (file.exists() && file.isFile()) user_variable = new FileInputStream(file); user_variable = new InputStreamReader(user_variable, ""UTF-8""); user_variable = new BufferedReader(user_variable); IO.writeLine(user_variable.readLine()); IO.logger.log(Level.WARNING, ""Error with stream reading"", exceptIO); if (user_variable != null) user_variable.close(); IO.logger.log(Level.WARNING, ""Error closing BufferedReader"", exceptIO); if (user_variable != null) user_variable.close(); IO.logger.log(Level.WARNING, ""Error closing InputStreamReader"", exceptIO); if (user_variable != null) user_variable.close(); IO.logger.log(Level.WARNING, ""Error closing FileInputStream"", exceptIO); public void Sink(Object user_variableObject ) throws Throwable String user_variable = (String)user_variableObject; if (user_variable != null) File file = new File(user_variable); FileInputStream user_variable = null; InputStreamReader user_variable = null; BufferedReader user_variable = null; if (file.exists() && file.isFile()) user_variable = new FileInputStream(file); user_variable = new InputStreamReader(user_variable, ""UTF-8""); user_variable = new BufferedReader(user_variable); IO.writeLine(user_variable.readLine()); IO.logger.log(Level.WARNING, ""Error with stream reading"", exceptIO); if (user_variable != null) user_variable.close(); IO.logger.log(Level.WARNING, ""Error closing BufferedReader"", exceptIO); if (user_variable != null) user_variable.close(); IO.logger.log(Level.WARNING, ""Error closing InputStreamReader"", exceptIO); if (user_variable != null) user_variable.close(); IO.logger.log(Level.WARNING, ""Error closing FileInputStream"", exceptIO);",non-vuln
12,"public void user_method(HttpServletRequest request, HttpServletResponse response) throws Throwable (request, response); user_methodB2G(request, response); private void Sink(HttpServletRequest request, HttpServletResponse response) throws Throwable String user_variable = user_variableGoodG2B; if (user_variable != null) response.addHeader(""Location"", ""/author.jsp?lang="" + user_variable); private void (HttpServletRequest request, HttpServletResponse response) throws Throwable String user_variable; user_variable = ""foo""; user_variableGoodG2B = user_variable; Sink(request, response); private void user_methodB2GSink(HttpServletRequest request, HttpServletResponse response) throws Throwable String user_variable = user_variableGoodB2G; if (user_variable != null) user_variable = URLEncoder.encode(user_variable, ""UTF-8""); response.addHeader(""Location"", ""/author.jsp?lang="" + user_variable); private void user_methodB2G(HttpServletRequest request, HttpServletResponse response) throws Throwable String user_variable; user_variable = """";  InputStreamReader readerInputStream = null; readerInputStream = new InputStreamReader(System.in, ""UTF-8""); IO.logger.log(Level.WARNING, ""Error with stream reading"", exceptIO); if (readerInputStream != null) readerInputStream.close(); IO.logger.log(Level.WARNING, ""Error closing InputStreamReader"", exceptIO); user_variableGoodB2G = user_variable; user_methodB2GSink(request, response); public static void main(String[] args) throws ClassNotFoundException, InstantiationException, IllegalAccessException mainFromParent(args);",non-vuln
